"code","relabel","label","varname","var_rename"
0,,"0: None","RX_HOSP_IMMUNOTHERAPY",
1,,"1: Immunotherapy administered as first course therapy","RX_HOSP_IMMUNOTHERAPY",
82,,"82: Not recommended/administered, contraindicated due to patient risk factors","RX_HOSP_IMMUNOTHERAPY",
85,,"85: Not administered because the patient died prior to planned or recommended therapy","RX_HOSP_IMMUNOTHERAPY",
86,,"86: Recommended, not administered, No reason given","RX_HOSP_IMMUNOTHERAPY",
87,,"87: Recommended, not administered, refused by the patient, patient's family member or guardian","RX_HOSP_IMMUNOTHERAPY",
88,,"88: Immunotherapy recommended, unknown if administered","RX_HOSP_IMMUNOTHERAPY",
99,,"99: Unknown","RX_HOSP_IMMUNOTHERAPY",
0,,"0: No transplant procedure or endocrine therapy administered","RX_SUMM_TRNSPLNT_ENDO",
10,,"10: Bone marrow transplant procedure administered, type not specified","RX_SUMM_TRNSPLNT_ENDO",
11,,"11: Bone marrow transplant, autologous","RX_SUMM_TRNSPLNT_ENDO",
12,,"12: Bone marrow transplant, allogeneic","RX_SUMM_TRNSPLNT_ENDO",
20,,"20: Stem cell harvest and infusion","RX_SUMM_TRNSPLNT_ENDO",
30,,"30: Endocrine surgery and/or endocrine radiation therapy","RX_SUMM_TRNSPLNT_ENDO",
40,,"40: Combination of endocrine surgery and/or radiation with a transplant procedure","RX_SUMM_TRNSPLNT_ENDO",
82,,"82: Transplant/endocrine surgery/radiation not recommended/administered, contraindicated due to patient risk factors","RX_SUMM_TRNSPLNT_ENDO",
85,,"85: Transplant/endocrine surgery/radiation not administered,patient died prior to planned or recommended therapy","RX_SUMM_TRNSPLNT_ENDO",
86,,"86: Recommended Transplant/endocrine/surgery/radiation but not administered no reason given","RX_SUMM_TRNSPLNT_ENDO",
87,,"87: Recommended but not administered, treatment refused by patient, patient's family member or guardian","RX_SUMM_TRNSPLNT_ENDO",
88,,"88: Hematologic transplant and/or endocrine surgery/radiation recommended, unknown if administered","RX_SUMM_TRNSPLNT_ENDO",
99,,"99: Unknown if recommended or administered","RX_SUMM_TRNSPLNT_ENDO",
0,,"0: None","RX_SUMM_OTHER",
1,,"1: Other","RX_SUMM_OTHER",
2,,"2: Other-Experimental","RX_SUMM_OTHER",
3,,"3: Other-Double Blind","RX_SUMM_OTHER",
6,,"6: Other-Unproven","RX_SUMM_OTHER",
7,,"7: Treatment 1, 2 or 3 recommended but refused by patient, patient's family or guardian","RX_SUMM_OTHER",
8,,"8: Recommended unknown if administered","RX_SUMM_OTHER",
9,,"9: Unknown if recommended or adminstered","RX_SUMM_OTHER",
0,,"0: None","RX_HOSP_OTHER",
1,,"1: Other","RX_HOSP_OTHER",
2,,"2: Other-Experimental","RX_HOSP_OTHER",
3,,"3: Other-Double Blind","RX_HOSP_OTHER",
6,,"6: Other-Unproven","RX_HOSP_OTHER",
7,,"7: Treatment 1, 2 or 3 recommended but refused by patient, patient's family or guardian","RX_HOSP_OTHER",
8,,"8: Recommended unknown if administered","RX_HOSP_OTHER",
9,,"9: Unknown if recommended or adminstered","RX_HOSP_OTHER",
0,,"0: None","PALLIATIVE_CARE",
1,,"1: Surgery","PALLIATIVE_CARE",
2,,"2: Radiation therapy","PALLIATIVE_CARE",
3,,"3: Chemo, hormone, other systemic drugs","PALLIATIVE_CARE",
4,,"4: Pain management therapy with no other palliative care","PALLIATIVE_CARE",
5,,"5: Any combination of codes 1, 2, and/or 3 without code 4","PALLIATIVE_CARE",
6,,"6: Any combination of codes 1, 2, and/or 3 with code 4","PALLIATIVE_CARE",
7,,"7: Palliative care performed or referred, type unknown or other than codes 1-6","PALLIATIVE_CARE",
9,,"9: Unknown if palliative care performed or referred","PALLIATIVE_CARE",
0,,"0: No systemic therapy and/or no surgery","RX_SUMM_SYSTEMIC_SUR_SEQ",
2,,"2: Systemic therapy before surgery","RX_SUMM_SYSTEMIC_SUR_SEQ",
3,,"3: Systemic therapy after surgery","RX_SUMM_SYSTEMIC_SUR_SEQ",
4,,"4: Systemic therapy before and after surgery","RX_SUMM_SYSTEMIC_SUR_SEQ",
5,,"5: Intraoperative systemic therapy during surgical procedure","RX_SUMM_SYSTEMIC_SUR_SEQ",
6,,"6: Intraoperative systemic therapy with other Rx administered before or after surgery","RX_SUMM_SYSTEMIC_SUR_SEQ",
9,,"9: Sequence unknown","RX_SUMM_SYSTEMIC_SUR_SEQ",
0,,"0: No Treatment Given","RX_SUMM_TREATMENT_STATUS",
1,,"1: Treatment Given","RX_SUMM_TREATMENT_STATUS",
2,,"2: Active Surveillance","RX_SUMM_TREATMENT_STATUS",
9,,"9: Unknown if Treatment Given","RX_SUMM_TREATMENT_STATUS",
0,,"0: Patient alive, or died more than 30 days after surgery performed","PUF_30_DAY_MORT_CD",
1,,"1: Patient died 30 or fewer days after surgery performed","PUF_30_DAY_MORT_CD",
9,,"9: Patient alive with fewer than 30 days of follow-up, surgery date missing, or last contact date missing","PUF_30_DAY_MORT_CD",
0,,"0: Patient alive, or died more than 90 days after surgery performed","PUF_90_DAY_MORT_CD",
1,,"1: Patient died 90 or fewer days after surgery performed","PUF_90_DAY_MORT_CD",
9,,"9: Patient alive with fewer than 90 days of follow-up, surgery date missing, or last contact date missing","PUF_90_DAY_MORT_CD",
0,,"0: Dead","PUF_VITAL_STATUS",
1,,"1: Alive","PUF_VITAL_STATUS",
0,,"0: Only one facility reported this case to NCDB","PUF_MULT_SOURCE",
1,,"1: Records pertaining to this case submitted to NCDB by more than one facility","PUF_MULT_SOURCE",
0,,"Diagnosis date before reference date","REFERENCE_DATE_FLAG",
1,,"Diagonsis date on or after reference date","REFERENCE_DATE_FLAG",
0,,"None, No regional lymph node surgery No lymph nodes found in the pathologic specimen","RX_SUMM_SCOPE_REG_LN_2012",
1,,"Biopsy or aspiration of regional lymph node, NOS","RX_SUMM_SCOPE_REG_LN_2012",
2,,"Sentinel lymph node biopsy","RX_SUMM_SCOPE_REG_LN_2012",
3,,"Number of regional nodes removed unknown or not stated, regional lymph nodes removed, NOS","RX_SUMM_SCOPE_REG_LN_2012",
4,,"1-3 regional lymph nodes removed","RX_SUMM_SCOPE_REG_LN_2012",
5,,"4 or more regional lymph nodes removed","RX_SUMM_SCOPE_REG_LN_2012",
6,,"Sentinel node biopsy & code 3, 4, or 5 at same time, or timing not stated","RX_SUMM_SCOPE_REG_LN_2012",
7,,"Sentinel node biopsy and code 3, 4, or 5 at different times","RX_SUMM_SCOPE_REG_LN_2012",
9,,"Unknown or not applicable","RX_SUMM_SCOPE_REG_LN_2012",
0,,"No surgical diagnostic or staging procedure was performed","RX_HOSP_DXSTG_PROC",
1,,"A biopsy was done to a site other than the primary","RX_HOSP_DXSTG_PROC",
2,,"A biopsy (incisional, needle, or aspiration) was done to the primary site","RX_HOSP_DXSTG_PROC",
3,,"A surgical exploration only","RX_HOSP_DXSTG_PROC",
4,,"A surgical procedure with a bypass was performed, but no biopsy was done","RX_HOSP_DXSTG_PROC",
5,,"An exploratory procedure was performed, and a biopsy of either the primary site or another site was done","RX_HOSP_DXSTG_PROC",
6,,"A bypass procedure was performed, and a biopsy of either the primary site or another site was done","RX_HOSP_DXSTG_PROC",
7,,"A procedure was done, but the type of procedure is unknown","RX_HOSP_DXSTG_PROC",
9,,"No information of whether a diagnostic or staging procedure was performed","RX_HOSP_DXSTG_PROC",
0,,"None","PALLIATIVE_CARE_HOSP",
1,,"Surgery","PALLIATIVE_CARE_HOSP",
2,,"Radiation therapy","PALLIATIVE_CARE_HOSP",
3,,"Chemo, hormone, other systemic drugs","PALLIATIVE_CARE_HOSP",
4,,"Pain management therapy with no other palliative care","PALLIATIVE_CARE_HOSP",
5,,"Any combination of codes 1, 2, and/or 3 without code 4","PALLIATIVE_CARE_HOSP",
6,,"Any combination of codes 1, 2, and/or 3 with code 4","PALLIATIVE_CARE_HOSP",
7,,"Palliative care performed or referred, type unknown or other than codes 1-6","PALLIATIVE_CARE_HOSP",
9,,"Unknown if palliative care performed or referred","PALLIATIVE_CARE_HOSP",
